id,latitude,longitude
022,51.278824,4.409519
049,51.182657,4.3729141
065,51.185132,4.3442028
077,51.171207,4.364278
078,51.171212,4.3644414
080,51.16932,4.362545638
084,51.183229,4.372675
122,51.238631,4.453698
132,51.251168,4.449170522
137,51.253444,4.435109
141,51.253825,4.4355804
159,51.259815,4.4495068
189,51.164014,4.391996958
219,51.163794,4.4004772
220,51.18165,4.391218
239,51.157605,4.371189
243,51.170694,4.383201147
245,51.168411,4.3902351
249,51.240375,4.4369445
087,51.161472,4.3534352
135,51.260159,4.4457976
143,51.255159,4.4404288
157,51.256377,4.4342995
162,51.177503,4.3988934
204,51.172804,4.4033597
232,51.176284,4.4252168
181,51.159779,4.3999749
045,51.176821,4.3711708
156,51.244982,4.441263
258,51.199533,4.4395575
261,51.187075,4.4283756
278,51.190084,4.4050155
283,51.180854,4.4193612
286,51.193742,4.3777512
288,51.176908,4.4169866
290,51.185008,4.418667
292,51.20581,4.4504188
293,51.206173,4.4496316
301,51.228349,4.4695027
305,51.204787,4.4777076
310,51.20544,4.4710032
314,51.20052,4.4600559
338,51.233803,4.3827702
339,51.233451,4.3829348
340,51.232502,4.3773284
341,51.232131,4.3786703
343,51.228455,4.3771718
357,51.200699,4.3982989
380,51.227105,4.4359233
385,51.258608,4.4218275
408,51.187594,4.4224748
427,51.207307,4.403494
434,51.194605,4.4350466
444,51.210896,4.4518634
447,51.230321,4.4738912
483,51.218497,4.4607516
485,51.20819,4.426547
493,51.209127,4.4082267
500,51.206192,4.4186973
505,51.217931,4.4266907
506,51.204077,4.388171
512,51.215602,4.3988413
521,51.206068,4.396278
529,51.200352,4.3912161
536,51.185966,4.3905684
540,51.210234,4.4751257
545,51.207295,4.4795432
548,51.245257,4.4202719
550,51.203961,4.4476596
551,51.211032,4.4218456
566,51.227167,4.400948
573,51.231024,4.4099176
576,51.194974,4.4243245
580,51.221675,4.4208122
588,51.223317,4.3864211
593,51.226868,4.409045
598,51.182135,4.4365957
623,51.235987,4.4765661
652,51.209079,4.4032594
683,51.192483,4.3806187
700,51.214214,4.4118431
759,51.209888,4.4743179
804,51.220699,4.416523
263,51.188957,4.4261775
282,51.187327,4.393507
355,51.203315,4.4278051
374,51.198396,4.402867
626,51.220229,4.3627293
640,51.218801,4.4210376
656,51.220276,4.3627457
785,51.224087,4.4153799
786,51.225219,4.4151102
836,51.219265,4.4169875
917,51.197262,4.4235413
915,51.222845,4.4239764
912,51.223704,4.4791973
900,51.235825,4.4205984
896,51.238856,4.4203987
889,51.206223,4.4256894
865,51.195163,4.4662023
846,51.204281,4.3880692
923,51.200111,4.431723
911,51.223958,4.4790586
898,51.23578,4.4204599
878,51.191119,4.3886938
538,51.214764,4.4349613
655,51.220294,4.3626144
361,51.196552,4.4083814
929,51.217813,4.3783622
681,51.221088,4.4888714
256,51.195217,4.4190607
257, 50.546443, 5.327074,
258, 50.775117, 4.26652,
259, 50.775117, 4.26652,
